z,fgas,logM*,SFR,gas tracer,study,Is fgas an upper limit,logMgas
0.03234,0.0309,11.16,0.57,CO(1-0),Saintonge et al. (2017),0,9.6503
0.0324,0.0101,10.68,0.54,CO(1-0),Saintonge et al. (2017),1,8.6844
0.03242,0.0204,10.26,0.91,CO(1-0),Saintonge et al. (2017),0,8.5698
0.03245,0.0989,10,0.98,CO(1-0),Saintonge et al. (2017),0,8.9952
0.03249,0.0204,10.75,0.1,CO(1-0),Saintonge et al. (2017),1,9.0598
0.03253,0.0101,11.14,0.02,CO(1-0),Saintonge et al. (2017),1,9.1444
0.03262,0.0309,10.25,0.04,CO(1-0),Saintonge et al. (2017),1,8.7403
0.03283,0.0204,10.49,0.44,CO(1-0),Saintonge et al. (2017),1,8.7998
0.03285,0.0204,10.43,0.59,CO(1-0),Saintonge et al. (2017),1,8.7398
0.03289,0.1364,10.27,1,CO(1-0),Saintonge et al. (2017),0,9.4047
0.03293,0.2048,10.44,9.92,CO(1-0),Saintonge et al. (2017),0,9.7514
0.03295,0.0204,10.45,0.35,CO(1-0),Saintonge et al. (2017),1,8.7598
0.03299,0.0309,10.54,0.69,CO(1-0),Saintonge et al. (2017),0,9.0303
0.03305,0.0204,10.6,0.09,CO(1-0),Saintonge et al. (2017),1,8.9098
0.03315,0.0526,10.05,0.46,CO(1-0),Saintonge et al. (2017),1,8.7712
0.03316,0.0417,10.03,0.03,CO(1-0),Saintonge et al. (2017),1,8.6498
0.03326,0.0204,10.43,0.02,CO(1-0),Saintonge et al. (2017),1,8.7398
0.03336,0.0204,10.6,0.94,CO(1-0),Saintonge et al. (2017),0,8.9098
0.03338,0.0417,10.63,1.65,CO(1-0),Saintonge et al. (2017),0,9.2498
0.03344,0.0417,10.99,1.15,CO(1-0),Saintonge et al. (2017),0,9.6098
0.03356,0.0638,10.03,0.06,CO(1-0),Saintonge et al. (2017),1,8.835
0.03369,0.0417,10.22,0.01,CO(1-0),Saintonge et al. (2017),1,8.8398
0.03378,0.087,10.15,2.11,CO(1-0),Saintonge et al. (2017),0,9.0893
0.03389,0.0989,10.03,1.24,CO(1-0),Saintonge et al. (2017),0,9.0252
0.03391,0.0526,10.13,0.03,CO(1-0),Saintonge et al. (2017),1,8.8512
0.03392,0.0638,10.02,0.99,CO(1-0),Saintonge et al. (2017),0,8.825
0.03397,0.0204,10.89,1.71,CO(1-0),Saintonge et al. (2017),0,9.1998
0.03401,0.0101,11.01,0.52,CO(1-0),Saintonge et al. (2017),1,9.0144
0.03404,0.0417,10.59,7.31,CO(1-0),Saintonge et al. (2017),0,9.2098
0.03408,0.0753,10.8,3.43,CO(1-0),Saintonge et al. (2017),0,9.6766
0.03409,0.0204,10.62,0.06,CO(1-0),Saintonge et al. (2017),1,8.9298
0.03412,0.0417,10.92,0.78,CO(1-0),Saintonge et al. (2017),0,9.5398
0.03425,0.0753,10.17,2.41,CO(1-0),Saintonge et al. (2017),0,9.0466
0.03431,0.0101,10.73,1.89,CO(1-0),Saintonge et al. (2017),0,8.7344
0.03436,0.1236,10.1,1.38,CO(1-0),Saintonge et al. (2017),0,9.192
0.03438,0.0204,10.5,0.3,CO(1-0),Saintonge et al. (2017),1,8.8098
0.03444,0.0101,11.17,0.71,CO(1-0),Saintonge et al. (2017),1,9.1744
0.03448,0.1765,10.15,2.6,CO(1-0),Saintonge et al. (2017),0,9.3967
0.0345,0.0989,10.14,1.69,CO(1-0),Saintonge et al. (2017),0,9.1352
0.03453,0.0417,10.28,1.2,CO(1-0),Saintonge et al. (2017),1,8.8998
0.03453,0.0417,10.14,0.21,CO(1-0),Saintonge et al. (2017),0,8.7598
