z,fgas,logM*,SFR,gas tracer,study,Is fgas an upper limit,logMgas
2.471,0.6129,10.8,26,dust,Zavala et al. (2019),0,10.5874
2.471,0.3889,10.68,19,dust,Zavala et al. (2019),1,10.2698
2.472,2.8462,9.85,95,dust,Zavala et al. (2019),1,10.3043
2.472,0.8868,10.23,70,dust,Zavala et al. (2019),1,10.1778
2.473,0.25,10.79,630,dust,Zavala et al. (2019),1,10.1879
2.473,1.2727,10.18,32,dust,Zavala et al. (2019),1,10.2847
2.474,8.0909,9.3,14,dust,Zavala et al. (2019),1,10.208
2.474,0.4925,10.51,21,dust,Zavala et al. (2019),1,10.2024
2.4745,19,9,16,dust,Zavala et al. (2019),1,10.2788
2.475,0.4493,10.54,43,dust,Zavala et al. (2019),0,10.1925
2.475,0.4493,10.63,152,dust,Zavala et al. (2019),1,10.2825
2.475,0.5152,10.58,100,dust,Zavala et al. (2019),1,10.2919
2.475,0.9231,10.36,31,dust,Zavala et al. (2019),1,10.3252
2.478,0.5152,10.52,26,dust,Zavala et al. (2019),1,10.2319
2.479,1.1277,10.15,56,dust,Zavala et al. (2019),1,10.2022
2.49,0.2417,11.08,500,CO(3-2),Tacconi et al. (2008),0,10.4632
2.503,0.1494,11.55,290,dust,Zavala et al. (2019),0,10.7244
2.504,0.4706,11.27,160,dust,Zavala et al. (2019),0,10.9426
2.508,0.3158,11.27,15,dust,Zavala et al. (2019),0,10.7694
2.513,0.7241,11.3,390,dust,Zavala et al. (2019),0,11.1598
2.543,11.573,10.25,63,CO(3-2) and CO(2-1),Decarli et al. (2016),0,11.3134
2.58,0.9632,11.45,288.4,dust,Scoville et al. (2016),0,11.4337
2.58,4.2886,11.09,660.69,dust,Scoville et al. (2016),0,11.7223
2.6,1.4918,10.69,467.74,dust,Scoville et al. (2016),0,10.8637
2.67,3.5008,11.12,741.31,dust,Scoville et al. (2016),0,11.6642
2.71,0.56,11.06,109.65,dust,Scoville et al. (2016),0,10.8082
2.73,0.088,9.7,100,CO(3-2),Tacconi et al. (2008),0,8.6445
2.73,1.5994,11.21,416.87,dust,Scoville et al. (2016),0,11.414
2.73,2.4849,10.93,891.25,dust,Scoville et al. (2016),0,11.3253
2.78,1.4196,10.75,213.8,dust,Scoville et al. (2016),0,10.9022
2.78,0.5898,11.52,537.03,dust,Scoville et al. (2016),0,11.2907
2.84,2.4507,10.85,457.09,dust,Scoville et al. (2016),0,11.2393
2.89,0.9097,10.86,123.03,dust,Scoville et al. (2016),0,10.8189
3.07,0.1867,10.18,220,CO(3-2),Tacconi et al. (2008),0,9.4511
